axis,dataset,timepoint,split,donor,model,family,pearson_delta,e_distance,aucell::T_cell_activation_n_genes,aucell::T_cell_activation_mae,aucell::IL2_STAT5_n_genes,aucell::IL2_STAT5_mae,aucell::type_I_IFN_n_genes,aucell::type_I_IFN_mae,aucell::type_II_IFN_n_genes,aucell::type_II_IFN_mae,aucell_delta_mae,aucell_delta_score,n_test,n_strata,n_response_genes,leak_free,source_file
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D373,D373,cell-mean,simple,0.1802,6.0715,4,0.0249,3,0.0163,3,0.1533,5,0.008,0.0506,-0.0506,576,2,76,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D373,D373,ctrl-pred,simple,-0.0233,5.8278,4,0.0249,3,0.0163,3,0.0396,5,0.008,0.0222,-0.0222,576,2,76,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D373,D373,donor-shift,simple,-0.0271,5.8526,4,0.0249,3,0.0163,3,0.0396,5,0.008,0.0222,-0.0222,576,2,76,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D373,D373,linear-PCA,simple,-0.0609,5.8525,4,0.0249,3,0.0163,3,0.0396,5,0.008,0.0222,-0.0222,576,2,76,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D373,D373,scGen,latent,0.1057824272317097,6.0827,4,0.0249,3,0.0163,3,0.0396,5,0.008,0.0222,-0.0222,576,2,76,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D374,D374,cell-mean,simple,0.1489,6.0553,4,0.0228,3,0.0143,3,0.2115,5,0.0129,0.0654,-0.0654,579,2,76,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D374,D374,ctrl-pred,simple,-0.049,5.9854,4,0.0174,3,0.0071,3,0.0341,5,0.0129,0.0179,-0.0179,579,2,76,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D374,D374,donor-shift,simple,0.0127,5.9862,4,0.0228,3,0.0143,3,0.0341,5,0.0129,0.021,-0.021,579,2,76,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D374,D374,linear-PCA,simple,0.0146,5.9875,4,0.0228,3,0.0143,3,0.0341,5,0.0129,0.021,-0.021,579,2,76,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D374,D374,scGen,latent,0.079426394863118,6.1885,4,0.0228,3,0.2138,3,0.2817,5,0.0129,0.1328,-0.1328,579,2,76,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D378,D378,cell-mean,simple,0.2886,6.1578,4,0.0172,3,0.0176,3,0.2357,5,0.0198,0.0726,-0.0726,371,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D378,D378,ctrl-pred,simple,0.0043,6.2536,4,0.0172,3,0.0176,3,0.0275,5,0.0198,0.0205,-0.0205,371,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D378,D378,donor-shift,simple,0.0355,6.2483,4,0.0172,3,0.0176,3,0.0275,5,0.0198,0.0205,-0.0205,371,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D378,D378,linear-PCA,simple,0.0455,6.2482,4,0.0172,3,0.0176,3,0.0275,5,0.0198,0.0205,-0.0205,371,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D378,D378,scGen,latent,0.1763165986897549,6.2565,4,0.0172,3,0.0176,3,0.0275,5,0.0198,0.0205,-0.0205,371,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D379,D379,cell-mean,simple,0.0987,5.9265,4,0.022,3,0.0201,3,0.1924,5,0.0148,0.0623,-0.0623,434,2,72,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D379,D379,ctrl-pred,simple,-0.0003,5.7885,4,0.022,3,0.0201,3,0.0357,5,0.0148,0.0231,-0.0231,434,2,72,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D379,D379,donor-shift,simple,0.012,5.7738,4,0.022,3,0.0201,3,0.0357,5,0.0148,0.0231,-0.0231,434,2,72,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D379,D379,linear-PCA,simple,0.0605,5.7728,4,0.022,3,0.0201,3,0.0357,5,0.0148,0.0231,-0.0231,434,2,72,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D379,D379,scGen,latent,0.1334207031623009,5.7834,4,0.022,3,0.0201,3,0.1047,5,0.0148,0.0404,-0.0404,434,2,72,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D380,D380,cell-mean,simple,0.1055,6.2147,4,0.0224,3,0.0282,3,0.0857,5,0.0179,0.0386,-0.0386,341,2,73,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D380,D380,ctrl-pred,simple,-0.0231,6.2637,4,0.0224,3,0.0282,3,0.1032,5,0.0179,0.0429,-0.0429,341,2,73,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D380,D380,donor-shift,simple,0.0436,6.2467,4,0.0224,3,0.0282,3,0.1032,5,0.0179,0.0429,-0.0429,341,2,73,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D380,D380,linear-PCA,simple,0.0631,6.2491,4,0.0224,3,0.0282,3,0.1032,5,0.0179,0.0429,-0.0429,341,2,73,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D380,D380,scGen,latent,0.1270306082190793,6.2088,4,0.0224,3,0.0282,3,0.1032,5,0.0179,0.0429,-0.0429,341,2,73,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D381,D381,cell-mean,simple,0.2179,5.6979,4,0.0183,3,0.0243,3,0.2532,5,0.0136,0.0774,-0.0774,342,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D381,D381,ctrl-pred,simple,0.0362,5.6489,4,0.0183,3,0.0809,3,0.0275,5,0.0136,0.0351,-0.0351,342,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D381,D381,donor-shift,simple,-0.0221,5.6511,4,0.0183,3,0.0985,3,0.0275,5,0.0136,0.0395,-0.0395,342,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D381,D381,linear-PCA,simple,0.0209,5.6498,4,0.0183,3,0.0985,3,0.0275,5,0.0136,0.0395,-0.0395,342,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D381,D381,scGen,latent,0.1437354123602306,5.6607,4,0.0183,3,0.0243,3,0.0275,5,0.0136,0.0209,-0.0209,342,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D382,D382,cell-mean,simple,0.2127,5.7324,4,0.0252,3,0.0287,3,0.2857,5,0.0117,0.0878,-0.0878,600,2,78,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D382,D382,ctrl-pred,simple,-0.0253,5.7061,4,0.0252,3,0.0287,3,0.0125,5,0.0725,0.0347,-0.0347,600,2,78,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D382,D382,donor-shift,simple,0.0159,5.7071,4,0.0252,3,0.0287,3,0.0125,5,0.0304,0.0242,-0.0242,600,2,78,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D382,D382,linear-PCA,simple,-0.0173,5.7058,4,0.0252,3,0.0287,3,0.0125,5,0.062,0.0321,-0.0321,600,2,78,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D382,D382,scGen,latent,0.1454617546548543,5.6972,4,0.0091,3,0.1643,3,0.0125,5,0.0117,0.0494,-0.0494,600,2,78,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D383,D383,cell-mean,simple,0.286,5.623,4,0.0201,3,0.0282,3,0.0638,5,0.0175,0.0324,-0.0324,273,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D383,D383,ctrl-pred,simple,0.056,5.5208,4,0.0201,3,0.0282,3,0.0969,5,0.0175,0.0407,-0.0407,273,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D383,D383,donor-shift,simple,-0.0272,5.4954,4,0.0201,3,0.0282,3,0.0969,5,0.0175,0.0407,-0.0407,273,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D383,D383,linear-PCA,simple,0.0311,5.4993,4,0.0201,3,0.0282,3,0.0969,5,0.0175,0.0407,-0.0407,273,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D383,D383,scGen,latent,0.131817330640481,5.5089,4,0.0201,3,0.2525,3,0.0969,5,0.0175,0.0968,-0.0968,273,2,75,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D387,D387,cell-mean,simple,0.3917,5.3036,4,0.0202,3,0.0173,3,0.2052,5,0.0148,0.0643,-0.0643,472,2,72,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D387,D387,ctrl-pred,simple,-0.0016,5.5675,4,0.0202,3,0.0173,3,0.058,5,0.0148,0.0275,-0.0275,472,2,72,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D387,D387,donor-shift,simple,0.1585,5.5211,4,0.0202,3,0.0173,3,0.058,5,0.0148,0.0275,-0.0275,472,2,72,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D387,D387,linear-PCA,simple,0.2141,5.5224,4,0.0202,3,0.0173,3,0.0412,5,0.0148,0.0233,-0.0233,472,2,72,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D387,D387,scGen,latent,0.2737361824262244,5.2885,4,0.0202,3,0.0173,3,0.2052,5,0.0148,0.0643,-0.0643,472,2,72,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D388,D388,cell-mean,simple,0.3449,5.0679,4,0.0206,3,0.019,3,0.0735,5,0.0147,0.032,-0.032,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D388,D388,ctrl-pred,simple,0.0179,5.2145,4,0.0206,3,0.019,3,0.0735,5,0.0147,0.032,-0.032,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D388,D388,donor-shift,simple,0.0396,5.1913,4,0.0206,3,0.019,3,0.0735,5,0.0147,0.032,-0.032,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D388,D388,linear-PCA,simple,0.0941,5.1903,4,0.0206,3,0.019,3,0.0735,5,0.0147,0.032,-0.032,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D388,D388,scGen,latent,0.276541360072837,4.9896,4,0.0206,3,0.019,3,0.0563,5,0.0274,0.0308,-0.0308,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D389,D389,cell-mean,simple,0.2057,5.5417,4,0.0206,3,0.0098,3,0.224,5,0.0169,0.0678,-0.0678,552,2,70,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D389,D389,ctrl-pred,simple,-0.0408,5.5337,4,0.0206,3,0.0098,3,0.0392,5,0.0169,0.0216,-0.0216,552,2,70,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D389,D389,donor-shift,simple,0.0338,5.5075,4,0.0206,3,0.0098,3,0.0392,5,0.0169,0.0216,-0.0216,552,2,70,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D389,D389,linear-PCA,simple,0.0453,5.5083,4,0.0206,3,0.0098,3,0.0392,5,0.0169,0.0216,-0.0216,552,2,70,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D389,D389,scGen,latent,0.1287444929903367,5.445,4,0.1373,3,0.0428,3,0.0392,5,0.0169,0.0591,-0.0591,552,2,70,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D390,D390,cell-mean,simple,0.2316,5.5182,4,0.0211,3,0.0173,3,0.0759,5,0.0147,0.0323,-0.0323,553,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D390,D390,ctrl-pred,simple,0.028,5.541,4,0.0211,3,0.0173,3,0.0759,5,0.0147,0.0323,-0.0323,553,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D390,D390,donor-shift,simple,0.0334,5.5252,4,0.0211,3,0.0173,3,0.0759,5,0.0147,0.0323,-0.0323,553,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D390,D390,linear-PCA,simple,0.0515,5.5233,4,0.0211,3,0.0173,3,0.0759,5,0.0147,0.0323,-0.0323,553,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D390,D390,scGen,latent,0.1702446291228668,5.4777,4,0.0447,3,0.0879,3,0.0759,5,0.0147,0.0558,-0.0558,553,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D391,D391,cell-mean,simple,0.3279,5.755,4,0.022,3,0.0207,3,0.1995,5,0.0219,0.066,-0.066,596,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D391,D391,ctrl-pred,simple,0.0136,5.4587,4,0.022,3,0.0207,3,0.0461,5,0.0219,0.0277,-0.0277,596,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D391,D391,donor-shift,simple,0.0675,5.4189,4,0.022,3,0.0207,3,0.0461,5,0.0219,0.0277,-0.0277,596,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D391,D391,linear-PCA,simple,0.113,5.4194,4,0.022,3,0.0207,3,0.0461,5,0.0219,0.0277,-0.0277,596,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D391,D391,scGen,latent,0.2887179758099466,5.3947,4,0.022,3,0.0207,3,0.0461,5,0.0219,0.0277,-0.0277,596,2,75,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D392,D392,cell-mean,simple,0.223,5.4235,4,0.0165,3,0.0187,3,0.2582,5,0.0248,0.0795,-0.0795,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D392,D392,ctrl-pred,simple,-0.1026,5.5033,4,0.0165,3,0.0187,3,0.0652,5,0.0489,0.0373,-0.0373,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D392,D392,donor-shift,simple,0.0639,5.4803,4,0.0165,3,0.0187,3,0.0652,5,0.0383,0.0347,-0.0347,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D392,D392,linear-PCA,simple,0.0239,5.4794,4,0.0165,3,0.0187,3,0.1003,5,0.0383,0.0434,-0.0434,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D392,D392,scGen,latent,0.0941761812135034,5.2979,4,0.0165,3,0.0187,3,0.0225,5,0.0248,0.0206,-0.0206,600,2,74,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D393,D393,cell-mean,simple,0.2641,5.0122,4,0.0212,3,0.0113,3,0.2259,5,0.0154,0.0684,-0.0684,600,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D393,D393,ctrl-pred,simple,0.0043,5.0628,4,0.0212,3,0.0113,3,0.0197,5,0.0154,0.0169,-0.0169,600,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D393,D393,donor-shift,simple,-0.0188,5.0611,4,0.0212,3,0.0113,3,0.0197,5,0.0154,0.0169,-0.0169,600,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D393,D393,linear-PCA,simple,-0.0544,5.0618,4,0.0212,3,0.0113,3,0.0197,5,0.0154,0.0169,-0.0169,600,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D393,D393,scGen,latent,0.1133927529257947,4.9635,4,0.0212,3,0.0113,3,0.0197,5,0.0154,0.0169,-0.0169,600,2,76,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D394,D394,cell-mean,simple,0.3271,4.4868,4,0.0202,3,0.0153,3,0.2232,5,0.013,0.0679,-0.0679,600,2,79,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D394,D394,ctrl-pred,simple,-0.0328,4.5475,4,0.0202,3,0.2128,3,0.0224,5,0.013,0.0671,-0.0671,600,2,79,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D394,D394,donor-shift,simple,-0.0436,4.573,4,0.0202,3,0.1602,3,0.0224,5,0.013,0.0539,-0.0539,600,2,79,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D394,D394,linear-PCA,simple,-0.0401,4.5722,4,0.0202,3,0.1777,3,0.0224,5,0.013,0.0583,-0.0583,600,2,79,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D394,D394,scGen,latent,0.0302584893127718,4.744,4,0.0202,3,0.1602,3,0.0224,5,0.013,0.0539,-0.0539,600,2,79,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D395,D395,cell-mean,simple,0.3016,4.9373,4,0.0164,3,0.0174,3,0.1673,5,0.0133,0.0536,-0.0536,600,2,77,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D395,D395,ctrl-pred,simple,-0.0207,4.9445,4,0.102,3,0.1405,3,0.0432,5,0.0133,0.0748,-0.0748,600,2,77,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D395,D395,donor-shift,simple,0.0077,4.9362,4,0.0231,3,0.0352,3,0.0432,5,0.0133,0.0287,-0.0287,600,2,77,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D395,D395,linear-PCA,simple,0.0437,4.9361,4,0.0099,3,0.0177,3,0.0432,5,0.0133,0.021,-0.021,600,2,77,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D395,D395,scGen,latent,0.1425742232967417,4.9647,4,0.102,3,0.1405,3,0.0432,5,0.0133,0.0748,-0.0748,600,2,77,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D396,D396,cell-mean,simple,0.2728,5.4252,4,0.0163,3,0.0111,3,0.2442,5,0.0154,0.0717,-0.0717,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D396,D396,ctrl-pred,simple,0.015,5.3355,4,0.0163,3,0.2696,3,0.0189,5,0.0154,0.0801,-0.0801,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D396,D396,donor-shift,simple,-0.0345,5.3342,4,0.0163,3,0.2346,3,0.0189,5,0.0154,0.0713,-0.0713,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D396,D396,linear-PCA,simple,-0.0453,5.3324,4,0.0163,3,0.2346,3,0.0189,5,0.0154,0.0713,-0.0713,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D396,D396,scGen,latent,0.0992849597553302,5.344,4,0.0364,3,0.3223,3,0.0189,5,0.0154,0.0983,-0.0983,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D397,D397,cell-mean,simple,0.3153,5.1369,4,0.0177,3,0.0159,3,0.2057,5,0.0418,0.0703,-0.0703,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D397,D397,ctrl-pred,simple,0.0036,5.2015,4,0.1271,3,0.0159,3,0.0224,5,0.0418,0.0518,-0.0518,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D397,D397,donor-shift,simple,0.0417,5.1676,4,0.0218,3,0.0159,3,0.0224,5,0.0418,0.0255,-0.0255,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D397,D397,linear-PCA,simple,0.0671,5.1664,4,0.0481,3,0.0159,3,0.0224,5,0.0418,0.032,-0.032,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D397,D397,scGen,latent,0.1505476599336889,5.1029,4,0.0177,3,0.0159,3,0.0224,5,0.1477,0.0509,-0.0509,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D398,D398,cell-mean,simple,0.2945,5.508,4,0.0147,3,0.0145,3,0.2171,5,0.0227,0.0672,-0.0672,600,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D398,D398,ctrl-pred,simple,0.0281,5.6578,4,0.0147,3,0.0145,3,0.0285,5,0.0227,0.0201,-0.0201,600,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D398,D398,donor-shift,simple,0.0013,5.6439,4,0.0147,3,0.0145,3,0.0285,5,0.0227,0.0201,-0.0201,600,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D398,D398,linear-PCA,simple,0.0035,5.6443,4,0.0147,3,0.0145,3,0.0285,5,0.0227,0.0201,-0.0201,600,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D398,D398,scGen,latent,0.1406930103602718,5.592,4,0.0147,3,0.0145,3,0.0417,5,0.0227,0.0234,-0.0234,600,2,74,True,results/C2/soskic_donor_shard1of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D405,D405,cell-mean,simple,0.2527,4.7988,4,0.0089,3,0.0192,3,0.2201,5,0.0146,0.0657,-0.0657,600,2,71,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D405,D405,ctrl-pred,simple,0.0412,4.7003,4,0.0174,3,0.0192,3,0.0255,5,0.0146,0.0192,-0.0192,600,2,71,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D405,D405,donor-shift,simple,-0.036,4.6971,4,0.0174,3,0.0192,3,0.0255,5,0.0146,0.0192,-0.0192,600,2,71,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D405,D405,linear-PCA,simple,0.0015,4.6974,4,0.0174,3,0.0192,3,0.0255,5,0.0146,0.0192,-0.0192,600,2,71,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D405,D405,scGen,latent,0.1579732703693653,4.6742,4,0.0174,3,0.0192,3,0.0255,5,0.0146,0.0192,-0.0192,600,2,71,True,results/C2/soskic_donor_shard2of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D406,D406,cell-mean,simple,0.3131,4.9581,4,0.0191,3,0.0185,3,0.2108,5,0.0174,0.0665,-0.0665,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D406,D406,ctrl-pred,simple,-0.0214,4.9998,4,0.0191,3,0.0185,3,0.0348,5,0.0247,0.0243,-0.0243,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D406,D406,donor-shift,simple,0.073,4.9741,4,0.0191,3,0.0185,3,0.0348,5,0.0174,0.0225,-0.0225,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D406,D406,linear-PCA,simple,0.0662,4.9744,4,0.0191,3,0.0185,3,0.0348,5,0.0174,0.0225,-0.0225,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D406,D406,scGen,latent,0.1159823417298823,4.9129,4,0.0191,3,0.0185,3,0.0348,5,0.0174,0.0225,-0.0225,600,2,75,True,results/C2/soskic_donor_shard3of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D407,D407,cell-mean,simple,0.2502,5.3295,4,0.0194,3,0.0161,3,0.1617,5,0.0156,0.0532,-0.0532,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
Donor,Soskic CD4 activation,16h,C2_soskic_LODO_D407,D407,ctrl-pred,simple,-0.0379,5.2843,4,0.0194,3,0.0161,3,0.0489,5,0.0156,0.025,-0.025,600,2,77,True,results/C2/soskic_donor_shard0of4.csv
