task,unit,scope,gene_mask,program,n_listed,n_measured_original,n_scored_members,scored_members,listed_members,removed_by_mask,n_strata,full_n_strata,ranking_universe_size
T3,shifrut,full_census_strata,benchmark_mask,effector_cytokine,11,7,7,CCL4;CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,1967
T3,shifrut,full_census_strata,benchmark_mask,Treg_exhaustion,11,5,5,ENTPD1;HAVCR2;IL2RA;LAG3;PDCD1,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,1967
T3,shifrut,full_census_strata,all_measured_original_members,TCR_activation,14,4,4,IL2RA;NFKBIA;REL;TNFRSF9,CD69;IL2RA;CD40LG;TNFRSF9;NR4A1;NR4A2;NR4A3;EGR1;EGR2;IRF4;REL;NFKBIA;CD28;TNFRSF4,,2,2,2000
T3,shifrut,full_census_strata,all_measured_original_members,IL2_STAT5,11,4,4,IL2RA;IL2RG;MYC;SOCS1,IL2RA;IL2RB;IL2RG;STAT5A;STAT5B;CISH;SOCS1;SOCS3;BCL2;MYC;IL2,,2,2,2000
T3,shifrut,full_census_strata,all_measured_original_members,proliferation,11,8,8,BIRC5;CENPF;MKI67;PCNA;STMN1;TOP2A;TYMS;UBE2C,MKI67;TOP2A;PCNA;CCNB1;CCNB2;CDK1;BIRC5;TYMS;CENPF;UBE2C;STMN1,,2,2,2000
T3,shifrut,full_census_strata,all_measured_original_members,effector_cytokine,11,7,7,CCL4;CCL5;GNLY;GZMA;GZMB;NKG7;PRF1,IFNG;TNF;GZMB;GZMA;PRF1;NKG7;GNLY;CCL5;CCL4;FASLG;TBX21,,2,2,2000
T3,shifrut,full_census_strata,all_measured_original_members,Treg_exhaustion,11,5,5,ENTPD1;HAVCR2;IL2RA;LAG3;PDCD1,FOXP3;IKZF2;CTLA4;TIGIT;IL10;PDCD1;LAG3;HAVCR2;TNFRSF18;ENTPD1;IL2RA,,2,2,2000
T5c,B,shared_supported_strata,benchmark_mask,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,140,141,2000
T5c,B,shared_supported_strata,benchmark_mask,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,140,141,2000
T5c,B,shared_supported_strata,benchmark_mask,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,140,141,2000
T5c,B,shared_supported_strata,all_measured_original_members,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,140,141,2000
T5c,B,shared_supported_strata,all_measured_original_members,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,140,141,2000
T5c,B,shared_supported_strata,all_measured_original_members,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,140,141,2000
T5c,B,full_census_strata,benchmark_mask,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,141,141,2000
T5c,B,full_census_strata,benchmark_mask,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,141,141,2000
T5c,B,full_census_strata,benchmark_mask,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,141,141,2000
T5c,B,full_census_strata,all_measured_original_members,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,141,141,2000
T5c,B,full_census_strata,all_measured_original_members,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,141,141,2000
T5c,B,full_census_strata,all_measured_original_members,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,141,141,2000
T5c,Mono,shared_supported_strata,benchmark_mask,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,139,140,2000
T5c,Mono,shared_supported_strata,benchmark_mask,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,139,140,2000
T5c,Mono,shared_supported_strata,benchmark_mask,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,139,140,2000
T5c,Mono,shared_supported_strata,all_measured_original_members,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,139,140,2000
T5c,Mono,shared_supported_strata,all_measured_original_members,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,139,140,2000
T5c,Mono,shared_supported_strata,all_measured_original_members,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,139,140,2000
T5c,Mono,full_census_strata,benchmark_mask,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,140,140,2000
T5c,Mono,full_census_strata,benchmark_mask,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,140,140,2000
T5c,Mono,full_census_strata,benchmark_mask,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,140,140,2000
T5c,Mono,full_census_strata,all_measured_original_members,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,140,140,2000
T5c,Mono,full_census_strata,all_measured_original_members,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,140,140,2000
T5c,Mono,full_census_strata,all_measured_original_members,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,140,140,2000
T5c,NK,shared_supported_strata,benchmark_mask,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,140,141,2000
T5c,NK,shared_supported_strata,benchmark_mask,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,140,141,2000
T5c,NK,shared_supported_strata,benchmark_mask,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,140,141,2000
T5c,NK,shared_supported_strata,all_measured_original_members,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,140,141,2000
T5c,NK,shared_supported_strata,all_measured_original_members,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,140,141,2000
T5c,NK,shared_supported_strata,all_measured_original_members,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,140,141,2000
T5c,NK,full_census_strata,benchmark_mask,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,141,141,2000
T5c,NK,full_census_strata,benchmark_mask,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,141,141,2000
T5c,NK,full_census_strata,benchmark_mask,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,141,141,2000
T5c,NK,full_census_strata,all_measured_original_members,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,141,141,2000
T5c,NK,full_census_strata,all_measured_original_members,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,141,141,2000
T5c,NK,full_census_strata,all_measured_original_members,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,141,141,2000
T5c,T_cells,shared_supported_strata,benchmark_mask,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,139,141,2000
T5c,T_cells,shared_supported_strata,benchmark_mask,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,139,141,2000
T5c,T_cells,shared_supported_strata,benchmark_mask,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,139,141,2000
T5c,T_cells,shared_supported_strata,all_measured_original_members,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,139,141,2000
T5c,T_cells,shared_supported_strata,all_measured_original_members,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,139,141,2000
T5c,T_cells,shared_supported_strata,all_measured_original_members,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,139,141,2000
T5c,T_cells,full_census_strata,benchmark_mask,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,141,141,2000
T5c,T_cells,full_census_strata,benchmark_mask,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,141,141,2000
T5c,T_cells,full_census_strata,benchmark_mask,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,141,141,2000
T5c,T_cells,full_census_strata,all_measured_original_members,type_I_IFN,25,20,20,BST2;HERC5;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF7;ISG15;ISG20;LY6E;MX1;MX2;OAS1;OAS2;STAT1;STAT2;XAF1,ISG15;IFI6;MX1;MX2;OAS1;OAS2;OAS3;OASL;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;ISG20;IRF7;STAT1;STAT2;RSAD2;USP18;IFI44;IFI44L;BST2;XAF1;HERC5;LY6E,,141,141,2000
T5c,T_cells,full_census_strata,all_measured_original_members,inflammatory_NFkB,22,7,7,BIRC3;IER3;NFKB1;NFKBIA;REL;SOD2;TNFAIP3,NFKBIA;NFKB1;NFKB2;REL;RELB;TNFAIP3;TNF;IL1B;CXCL8;CCL2;CCL20;CXCL2;CXCL3;PTGS2;NFKBIE;BIRC3;TNFAIP2;CD83;IER3;SOD2;NFKBID;TNFAIP1,,141,141,2000
T5c,T_cells,full_census_strata,all_measured_original_members,effector_lymphocyte,17,11,11,CCL3;CCL4;CCL5;CD69;CST7;GNLY;GZMA;GZMB;KLRD1;NKG7;PRF1,IFNG;GZMB;GZMA;GZMK;PRF1;NKG7;GNLY;KLRD1;CCL5;CST7;TBX21;FASLG;CD69;IL2RA;TNFRSF9;CCL4;CCL3,,141,141,2000
