model,family,split,donor,pearson_delta,e_distance,aucell_program_corr,n_test,n_strata,n_response_genes,leak_free,cluster,dataset,modality,registry_task,seed,ran,headline_eligible
cell-mean,simple,C2_soskic_LODO_D388,D388,0.3449,5.0679,-0.032,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D388,D388,0.0179,5.2145,-0.032,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D388,D388,0.0396,5.1913,-0.032,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D388,D388,0.0941,5.1903,-0.032,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D388,D388,0.2526,4.9896,-0.0308,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D389,D389,0.2057,5.5417,-0.0678,552.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D389,D389,-0.0408,5.5337,-0.0216,552.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D389,D389,0.0338,5.5075,-0.0216,552.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D389,D389,0.0453,5.5083,-0.0216,552.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D389,D389,0.1513,5.445,-0.0591,552.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D390,D390,0.2316,5.5182,-0.0323,553.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D390,D390,0.028,5.541,-0.0323,553.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D390,D390,0.0334,5.5252,-0.0323,553.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D390,D390,0.0515,5.5233,-0.0323,553.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D390,D390,0.1757,5.4777,-0.0558,553.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D391,D391,0.3279,5.755,-0.066,596.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D391,D391,0.0136,5.4587,-0.0277,596.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D391,D391,0.0675,5.4189,-0.0277,596.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D391,D391,0.113,5.4194,-0.0277,596.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D391,D391,0.2129,5.3947,-0.0277,596.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D392,D392,0.223,5.4235,-0.0795,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D392,D392,-0.1026,5.5033,-0.0373,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D392,D392,0.0639,5.4803,-0.0347,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D392,D392,0.0239,5.4794,-0.0434,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D392,D392,0.0961,5.2979,-0.0206,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D393,D393,0.2641,5.0122,-0.0684,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D393,D393,0.0043,5.0628,-0.0169,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D393,D393,-0.0188,5.0611,-0.0169,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D393,D393,-0.0544,5.0618,-0.0169,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D393,D393,0.1572,4.9635,-0.0169,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D394,D394,0.3271,4.4868,-0.0679,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D394,D394,-0.0328,4.5475,-0.0671,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D394,D394,-0.0436,4.573,-0.0539,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D394,D394,-0.0401,4.5722,-0.0583,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D394,D394,0.056,4.744,-0.0539,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D395,D395,0.3016,4.9373,-0.0536,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D395,D395,-0.0207,4.9445,-0.0748,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D395,D395,0.0077,4.9362,-0.0287,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D395,D395,0.0437,4.9361,-0.021,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D395,D395,0.116,4.9647,-0.0748,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D396,D396,0.2728,5.4252,-0.0717,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D396,D396,0.015,5.3355,-0.0801,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D396,D396,-0.0345,5.3342,-0.0713,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D396,D396,-0.0453,5.3324,-0.0713,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D396,D396,0.1042,5.344,-0.0983,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D397,D397,0.3153,5.1369,-0.0703,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D397,D397,0.0036,5.2015,-0.0518,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D397,D397,0.0417,5.1676,-0.0255,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D397,D397,0.0671,5.1664,-0.032,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D397,D397,0.1684,5.1029,-0.0509,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D398,D398,0.2945,5.508,-0.0672,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D398,D398,0.0281,5.6578,-0.0201,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D398,D398,0.0013,5.6439,-0.0201,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D398,D398,0.0035,5.6443,-0.0201,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D398,D398,0.1195,5.592,-0.0234,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D405,D405,0.2527,4.7988,-0.0657,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D405,D405,0.0412,4.7003,-0.0192,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D405,D405,-0.036,4.6971,-0.0192,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D405,D405,0.0015,4.6974,-0.0192,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D405,D405,0.1877,4.6742,-0.0192,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D406,D406,0.3131,4.9581,-0.0665,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D406,D406,-0.0214,4.9998,-0.0243,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D406,D406,0.073,4.9741,-0.0225,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D406,D406,0.0662,4.9744,-0.0225,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D406,D406,0.1717,4.9129,-0.0225,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D407,D407,0.2502,5.3295,-0.0532,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D407,D407,-0.0379,5.2843,-0.025,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D407,D407,0.0151,5.2671,-0.025,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D407,D407,0.0387,5.2679,-0.025,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D407,D407,0.152,5.2823,-0.0574,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D408,D408,0.1297,5.1265,-0.0718,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D408,D408,-0.1299,5.0455,-0.0195,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D408,D408,0.0024,5.0236,-0.0195,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D408,D408,0.0282,5.0235,-0.0195,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D408,D408,0.1085,4.9831,-0.0339,600.0,2.0,72.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D409,D409,0.2315,5.051,-0.0312,567.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D409,D409,-0.0136,5.076,-0.0285,567.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D409,D409,0.0069,5.0621,-0.0285,567.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D409,D409,0.0115,5.063,-0.0285,567.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D409,D409,0.1045,5.0977,-0.0285,567.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D410,D410,0.3206,4.9505,-0.0784,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D410,D410,0.0882,4.7431,-0.0209,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D410,D410,-0.0024,4.7409,-0.0209,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D410,D410,-0.025,4.7401,-0.0209,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D410,D410,0.2121,4.6937,-0.1097,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D411,D411,0.1781,4.9855,-0.068,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D411,D411,0.0139,4.8904,-0.0223,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D411,D411,0.057,4.8638,-0.0223,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D411,D411,0.0909,4.8627,-0.0223,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D411,D411,0.1535,4.7507,-0.0418,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D412,D412,0.313,4.9581,-0.0717,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D412,D412,-0.0573,4.9685,-0.0189,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D412,D412,-0.0142,4.9504,-0.0189,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D412,D412,-0.0205,4.9496,-0.0189,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D412,D412,0.2548,4.8047,-0.0451,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D413,D413,0.1742,5.04,-0.0669,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D413,D413,0.0253,5.0385,-0.0174,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D413,D413,0.1239,5.0018,-0.0189,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D413,D413,0.1013,5.0004,-0.0189,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D413,D413,0.1835,4.8488,-0.0252,600.0,2.0,70.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D414,D414,0.1917,5.1705,-0.073,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D414,D414,-0.0272,5.1168,-0.0232,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D414,D414,0.0575,5.0808,-0.0232,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D414,D414,0.0657,5.0812,-0.0232,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D414,D414,0.1192,5.0379,-0.0232,600.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D415,D415,0.2996,5.5638,-0.0744,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D415,D415,0.0058,5.7868,-0.0199,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D415,D415,0.1145,5.738,-0.0199,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D415,D415,0.1197,5.7375,-0.0199,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D415,D415,0.1912,5.5835,-0.0199,600.0,2.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D416,D416,0.287,6.4203,-0.0738,353.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D416,D416,-0.072,6.4049,-0.02,353.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D416,D416,0.0289,6.3658,-0.02,353.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D416,D416,0.0931,6.364,-0.02,353.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D416,D416,0.1703,6.4203,-0.02,353.0,2.0,78.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D417,D417,0.3019,6.0135,-0.057,370.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D417,D417,0.0195,6.0032,-0.0658,370.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D417,D417,0.0824,5.9557,-0.0728,370.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D417,D417,0.1216,5.9553,-0.0745,370.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D417,D417,0.2069,6.0096,-0.0386,370.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D418,D418,0.2687,6.4953,-0.058,518.0,2.0,68.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D418,D418,0.0718,6.4547,-0.0202,518.0,2.0,68.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D418,D418,0.1198,6.4046,-0.0235,518.0,2.0,68.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D418,D418,0.142,6.4031,-0.0235,518.0,2.0,68.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D418,D418,0.159,6.3602,-0.0235,518.0,2.0,68.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D419,D419,0.1633,6.3753,-0.0527,466.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D419,D419,-0.0887,6.1666,-0.0285,466.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D419,D419,0.0702,6.107,-0.0351,466.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D419,D419,0.1351,6.1069,-0.022,466.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D419,D419,0.125,6.0163,-0.1047,466.0,2.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D420,D420,0.2925,6.7474,-0.0682,386.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D420,D420,0.0267,7.088,-0.0795,386.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D420,D420,0.156,7.0242,-0.0813,386.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D420,D420,0.1983,7.024,-0.0883,386.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D420,D420,0.1567,6.9451,-0.0261,386.0,2.0,75.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D421,D421,0.1142,5.236,-0.0654,300.0,1.0,66.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D421,D421,0.1498,5.2231,-0.0306,300.0,1.0,66.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D421,D421,0.2303,5.1349,-0.0393,300.0,1.0,66.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D421,D421,0.402,5.1332,-0.0349,300.0,1.0,66.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D421,D421,0.0127,5.0988,-0.022,300.0,1.0,66.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D422,D422,-0.0524,5.2481,-0.0477,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D422,D422,0.0305,5.0199,-0.0334,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D422,D422,0.1589,4.9557,-0.0334,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D422,D422,0.2612,4.9559,-0.0334,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D422,D422,0.0027,4.8817,-0.0334,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D423,D423,0.1453,5.9514,-0.1117,300.0,1.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D423,D423,-0.1376,6.0075,-0.1048,300.0,1.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D423,D423,0.0845,5.9728,-0.1048,300.0,1.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D423,D423,0.0434,5.9769,-0.1048,300.0,1.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D423,D423,-0.0065,5.9993,-0.1048,300.0,1.0,73.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D424,D424,0.0016,5.5867,-0.0631,300.0,1.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D424,D424,0.1705,5.3665,-0.0196,300.0,1.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D424,D424,0.2405,5.2801,-0.0196,300.0,1.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D424,D424,0.3735,5.2788,-0.0196,300.0,1.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D424,D424,-0.0987,5.3418,-0.0177,300.0,1.0,71.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D425,D425,0.0322,5.5703,-0.0651,300.0,1.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
