donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,seed_scores,seeds,n_test,n_ctrl,n_strata,n_response_genes,best_mmd,leak_free
D418,aucell_delta_score,-0.0118,donor-shift,-0.0235,0.0117,"[-0.0143, -0.0133, -0.0078]","0,1,2",518,600,2,68,0.03075,True
D419,e_distance,0.9748,donor-shift,6.1136,5.1388,"[0.9494, 1.0367, 0.9383]","0,1,2",466,600,2,73,0.03075,True
D419,aucell_delta_score,-0.0143,donor-shift,-0.0351,0.0208,"[-0.0152, -0.0119, -0.0158]","0,1,2",466,600,2,73,0.03075,True
D420,e_distance,0.898,cell-mean,6.7186,5.8206,"[0.7955, 0.9913, 0.9071]","0,1,2",386,600,2,75,0.03045,True
D420,aucell_delta_score,-0.0122,cell-mean,-0.0682,0.056,"[-0.0083, -0.0136, -0.0148]","0,1,2",386,600,2,75,0.03045,True
D421,e_distance,0.6176,donor-shift,5.081,4.4634,"[0.683, 0.6449, 0.525]","0,1,2",300,600,1,66,0.03048,True
D421,aucell_delta_score,-0.0143,donor-shift,-0.0393,0.025,"[-0.0171, -0.0176, -0.0083]","0,1,2",300,600,1,66,0.03048,True
D422,e_distance,0.5674,donor-shift,4.9115,4.3441,"[0.6558, 0.5056, 0.5407]","0,1,2",300,600,1,74,0.03035,True
D422,aucell_delta_score,-0.0139,donor-shift,-0.0334,0.0195,"[-0.0165, -0.0149, -0.0103]","0,1,2",300,600,1,74,0.03035,True
D423,e_distance,1.724,cell-mean,5.9413,4.2173,"[1.7851, 1.5296, 1.8573]","0,1,2",300,600,1,73,0.03046,True
D423,aucell_delta_score,-0.1021,donor-shift,-0.1048,0.0027,"[-0.1038, -0.102, -0.1006]","0,1,2",300,600,1,73,0.03046,True
D424,e_distance,0.6352,donor-shift,5.2361,4.6009,"[0.6733, 0.5814, 0.651]","0,1,2",300,600,1,71,0.0305,True
D424,aucell_delta_score,-0.0126,donor-shift,-0.0196,0.007,"[-0.0165, -0.0131, -0.0081]","0,1,2",300,600,1,71,0.0305,True
D425,e_distance,0.699,donor-shift,5.3617,4.6627,"[0.6347, 0.6706, 0.7918]","0,1,2",300,600,1,74,0.0306,True
D425,aucell_delta_score,-0.0121,donor-shift,-0.027,0.0149,"[-0.0171, -0.0086, -0.0107]","0,1,2",300,600,1,74,0.0306,True
D426,e_distance,0.868,cell-mean,5.9332,5.0652,"[0.8429, 0.8912, 0.87]","0,1,2",600,600,2,84,0.03046,True
D426,aucell_delta_score,-0.0123,donor-shift,-0.0192,0.0069,"[-0.0124, -0.0114, -0.013]","0,1,2",600,600,2,84,0.03046,True
D427,e_distance,0.7246,donor-shift,5.7972,5.0726,"[0.6239, 0.8507, 0.6993]","0,1,2",600,600,2,83,0.03052,True
D427,aucell_delta_score,-0.0144,donor-shift,-0.0177,0.0033,"[-0.0173, -0.0138, -0.012]","0,1,2",600,600,2,83,0.03052,True
D428,e_distance,0.724,donor-shift,6.0772,5.3532,"[0.7365, 0.6691, 0.7663]","0,1,2",515,600,2,87,0.03054,True
D428,aucell_delta_score,-0.0216,donor-shift,-0.068,0.0464,"[-0.0208, -0.0235, -0.0204]","0,1,2",515,600,2,87,0.03054,True
D429,e_distance,0.6017,donor-shift,5.4819,4.8802,"[0.5816, 0.6409, 0.5825]","0,1,2",600,600,2,81,0.03057,True
D429,aucell_delta_score,-0.0136,donor-shift,-0.0399,0.0263,"[-0.0136, -0.0155, -0.0118]","0,1,2",600,600,2,81,0.03057,True
D430,e_distance,0.4263,cell-mean,6.0178,5.5915,"[0.4196, 0.4459, 0.4134]","0,1,2",600,600,2,74,0.03066,True
D430,aucell_delta_score,-0.0159,donor-shift,-0.0195,0.0036,"[-0.0159, -0.0173, -0.0145]","0,1,2",600,600,2,74,0.03066,True
D431,e_distance,0.5725,cell-mean,5.5231,4.9506,"[0.6016, 0.5848, 0.5312]","0,1,2",600,600,2,91,0.03078,True
D431,aucell_delta_score,-0.016,donor-shift,-0.065,0.049,"[-0.0148, -0.0151, -0.0182]","0,1,2",600,600,2,91,0.03078,True
D432,e_distance,0.5071,cell-mean,5.7219,5.2148,"[0.4744, 0.5742, 0.4727]","0,1,2",600,600,2,72,0.03059,True
D432,aucell_delta_score,-0.0075,donor-shift,-0.0223,0.0148,"[-0.0063, -0.0082, -0.0079]","0,1,2",600,600,2,72,0.03059,True
D433,e_distance,0.5664,donor-shift,5.8006,5.2342,"[0.624, 0.5446, 0.5305]","0,1,2",600,600,2,76,0.03045,True
D433,aucell_delta_score,-0.0148,donor-shift,-0.0204,0.0056,"[-0.0175, -0.0142, -0.0126]","0,1,2",600,600,2,76,0.03045,True
D434,e_distance,0.5504,donor-shift,5.5569,5.0065,"[0.4611, 0.6248, 0.5653]","0,1,2",482,600,2,73,0.03054,True
D434,aucell_delta_score,-0.0154,donor-shift,-0.018,0.0026,"[-0.0165, -0.0146, -0.0152]","0,1,2",482,600,2,73,0.03054,True
D435,e_distance,0.3876,donor-shift,4.9828,4.5952,"[0.4222, 0.4017, 0.339]","0,1,2",600,600,2,76,0.03052,True
D435,aucell_delta_score,-0.0126,donor-shift,-0.023,0.0104,"[-0.0119, -0.0148, -0.0111]","0,1,2",600,600,2,76,0.03052,True
D436,e_distance,0.4752,cell-mean,5.3698,4.8946,"[0.4484, 0.5056, 0.4715]","0,1,2",600,600,2,78,0.03064,True
D436,aucell_delta_score,-0.0162,donor-shift,-0.0196,0.0034,"[-0.0132, -0.0181, -0.0172]","0,1,2",600,600,2,78,0.03064,True
D439,e_distance,0.669,cell-mean,5.5027,4.8337,"[0.5788, 0.8187, 0.6094]","0,1,2",600,600,2,78,0.03059,True
D439,aucell_delta_score,-0.0139,donor-shift,-0.0192,0.0053,"[-0.0116, -0.0132, -0.017]","0,1,2",600,600,2,78,0.03059,True
D440,e_distance,0.4899,donor-shift,4.9094,4.4195,"[0.4558, 0.5547, 0.4593]","0,1,2",600,600,2,75,0.03026,True
D440,aucell_delta_score,-0.0103,donor-shift,-0.0208,0.0105,"[-0.0117, -0.0075, -0.0116]","0,1,2",600,600,2,75,0.03026,True
D441,e_distance,0.4154,cell-mean,5.195,4.7796,"[0.3952, 0.4346, 0.4165]","0,1,2",600,600,2,74,0.03038,True
D441,aucell_delta_score,-0.013,donor-shift,-0.0296,0.0166,"[-0.0112, -0.0124, -0.0155]","0,1,2",600,600,2,74,0.03038,True
D442,e_distance,0.5161,cell-mean,5.1227,4.6066,"[0.6384, 0.5015, 0.4085]","0,1,2",600,600,2,76,0.03055,True
D442,aucell_delta_score,-0.0126,donor-shift,-0.0216,0.009,"[-0.0114, -0.0139, -0.0126]","0,1,2",600,600,2,76,0.03055,True
D443,e_distance,0.4644,cell-mean,5.1317,4.6673,"[0.4849, 0.4865, 0.4219]","0,1,2",600,600,2,73,0.03062,True
D443,aucell_delta_score,-0.0168,donor-shift,-0.0229,0.0061,"[-0.0175, -0.0166, -0.0162]","0,1,2",600,600,2,73,0.03062,True
D445,e_distance,0.3963,donor-shift,5.1828,4.7865,"[0.3534, 0.4276, 0.4079]","0,1,2",600,600,2,78,0.03048,True
D445,aucell_delta_score,-0.0192,donor-shift,-0.0155,-0.0037,"[-0.0196, -0.0201, -0.0179]","0,1,2",600,600,2,78,0.03048,True
D446,e_distance,0.43,donor-shift,5.3805,4.9505,"[0.4426, 0.4115, 0.436]","0,1,2",600,600,2,78,0.03041,True
D446,aucell_delta_score,-0.0134,donor-shift,-0.0192,0.0058,"[-0.0118, -0.014, -0.0143]","0,1,2",600,600,2,78,0.03041,True
D447,e_distance,0.5478,cell-mean,8.1115,7.5637,"[0.5568, 0.5357, 0.5508]","0,1,2",600,600,2,73,0.03045,True
D447,aucell_delta_score,-0.0165,donor-shift,-0.0144,-0.0021,"[-0.0153, -0.0153, -0.0189]","0,1,2",600,600,2,73,0.03045,True
D448,e_distance,0.4445,donor-shift,5.6284,5.1839,"[0.4951, 0.4607, 0.3776]","0,1,2",600,600,2,75,0.03042,True
D448,aucell_delta_score,-0.0199,donor-shift,-0.0332,0.0133,"[-0.02, -0.0204, -0.0194]","0,1,2",600,600,2,75,0.03042,True
D449,e_distance,0.479,donor-shift,5.0978,4.6188,"[0.5001, 0.4862, 0.4506]","0,1,2",600,600,2,79,0.03047,True
D449,aucell_delta_score,-0.015,donor-shift,-0.0171,0.0021,"[-0.01, -0.0125, -0.0225]","0,1,2",600,600,2,79,0.03047,True
D450,e_distance,0.4733,donor-shift,5.1394,4.6661,"[0.4279, 0.5122, 0.4799]","0,1,2",600,600,2,77,0.03041,True
D450,aucell_delta_score,-0.0135,donor-shift,-0.0344,0.0209,"[-0.0127, -0.0123, -0.0156]","0,1,2",600,600,2,77,0.03041,True
D451,e_distance,0.5327,cell-mean,6.0107,5.478,"[0.5103, 0.5557, 0.532]","0,1,2",600,600,2,70,0.03063,True
D451,aucell_delta_score,-0.0181,cell-mean,-0.0275,0.0094,"[-0.0173, -0.0156, -0.0214]","0,1,2",600,600,2,70,0.03063,True
D452,e_distance,0.3996,donor-shift,5.1228,4.7232,"[0.3832, 0.4446, 0.3711]","0,1,2",600,600,2,77,0.03014,True
D452,aucell_delta_score,-0.0139,donor-shift,-0.0206,0.0067,"[-0.0121, -0.0177, -0.012]","0,1,2",600,600,2,77,0.03014,True
D453,e_distance,0.3479,donor-shift,5.0963,4.7484,"[0.3824, 0.3246, 0.3366]","0,1,2",600,600,2,79,0.03062,True
D453,aucell_delta_score,-0.0168,donor-shift,-0.0204,0.0036,"[-0.0194, -0.0161, -0.0148]","0,1,2",600,600,2,79,0.03062,True
D454,e_distance,0.3902,donor-shift,5.6609,5.2707,"[0.405, 0.3395, 0.4261]","0,1,2",300,300,1,80,0.03042,True
D454,aucell_delta_score,-0.0128,donor-shift,-0.0223,0.0095,"[-0.0068, -0.0124, -0.0192]","0,1,2",300,300,1,80,0.03042,True
D455,e_distance,0.5855,donor-shift,5.8419,5.2564,"[0.6075, 0.6468, 0.5022]","0,1,2",466,518,2,74,0.03095,True
D455,aucell_delta_score,-0.013,donor-shift,-0.0218,0.0088,"[-0.0133, -0.013, -0.0127]","0,1,2",466,518,2,74,0.03095,True
D456,e_distance,0.4288,donor-shift,5.1985,4.7697,"[0.44, 0.4277, 0.4187]","0,1,2",600,600,2,80,0.03056,True
D456,aucell_delta_score,-0.0121,donor-shift,-0.0203,0.0082,"[-0.0142, -0.0105, -0.0115]","0,1,2",600,600,2,80,0.03056,True
D457,e_distance,0.338,cell-mean,5.4972,5.1592,"[0.3827, 0.3122, 0.319]","0,1,2",600,600,2,78,0.03059,True
D457,aucell_delta_score,-0.0142,donor-shift,-0.0463,0.0321,"[-0.0101, -0.0148, -0.0178]","0,1,2",600,600,2,78,0.03059,True
D458,e_distance,0.2549,donor-shift,4.7277,4.4728,"[0.2331, 0.2672, 0.2644]","0,1,2",600,600,2,81,0.03046,True
D458,aucell_delta_score,-0.017,donor-shift,-0.0173,0.0003,"[-0.0231, -0.0138, -0.0142]","0,1,2",600,600,2,81,0.03046,True
D459,e_distance,0.4086,cell-mean,5.698,5.2894,"[0.3694, 0.3632, 0.4931]","0,1,2",600,600,2,76,0.03052,True
D459,aucell_delta_score,-0.0203,donor-shift,-0.0258,0.0055,"[-0.0206, -0.0205, -0.0197]","0,1,2",600,600,2,76,0.03052,True
D460,e_distance,0.3112,cell-mean,4.7161,4.4049,"[0.3452, 0.3179, 0.2706]","0,1,2",600,600,2,79,0.03052,True
D460,aucell_delta_score,-0.0138,donor-shift,-0.0165,0.0027,"[-0.0141, -0.0136, -0.0137]","0,1,2",600,600,2,79,0.03052,True
D461,e_distance,0.5107,cell-mean,5.1172,4.6065,"[0.5411, 0.5002, 0.4908]","0,1,2",600,600,2,80,0.03054,True
D461,aucell_delta_score,-0.0107,donor-shift,-0.0243,0.0136,"[-0.0091, -0.0117, -0.0114]","0,1,2",600,600,2,80,0.03054,True
D462,e_distance,0.6748,donor-shift,5.496,4.8212,"[0.6683, 0.694, 0.6622]","0,1,2",600,600,2,76,0.03062,True
D462,aucell_delta_score,-0.0152,donor-shift,-0.0235,0.0083,"[-0.0201, -0.0124, -0.0132]","0,1,2",600,600,2,76,0.03062,True
D463,e_distance,0.4498,donor-shift,5.2281,4.7783,"[0.5052, 0.3916, 0.4525]","0,1,2",600,600,2,80,0.03069,True
D463,aucell_delta_score,-0.0182,donor-shift,-0.0247,0.0065,"[-0.0205, -0.0131, -0.0211]","0,1,2",600,600,2,80,0.03069,True
D464,e_distance,0.5057,cell-mean,4.9784,4.4727,"[0.4524, 0.6025, 0.4621]","0,1,2",600,600,2,72,0.03109,True
D464,aucell_delta_score,-0.0164,donor-shift,-0.0238,0.0074,"[-0.0156, -0.0154, -0.0183]","0,1,2",600,600,2,72,0.03109,True
D465,e_distance,0.5525,donor-shift,5.3013,4.7488,"[0.4855, 0.6558, 0.5162]","0,1,2",600,600,2,76,0.03073,True
D465,aucell_delta_score,-0.0126,donor-shift,-0.0233,0.0107,"[-0.018, -0.0072, -0.0127]","0,1,2",600,600,2,76,0.03073,True
D466,e_distance,0.497,donor-shift,5.2614,4.7644,"[0.451, 0.5423, 0.4978]","0,1,2",600,600,2,77,0.03053,True
D466,aucell_delta_score,-0.0154,donor-shift,-0.0194,0.004,"[-0.0211, -0.0118, -0.0134]","0,1,2",600,600,2,77,0.03053,True
D481,e_distance,0.3567,cell-mean,5.034,4.6773,"[0.3825, 0.3674, 0.3203]","0,1,2",600,600,2,69,0.03052,True
D481,aucell_delta_score,-0.0114,donor-shift,-0.0223,0.0109,"[-0.0111, -0.0116, -0.0114]","0,1,2",600,600,2,69,0.03052,True
D482,e_distance,0.3741,cell-mean,5.0869,4.7128,"[0.3918, 0.3706, 0.3599]","0,1,2",600,600,2,75,0.03052,True
D482,aucell_delta_score,-0.0163,cell-mean,-0.0258,0.0095,"[-0.0136, -0.0194, -0.016]","0,1,2",600,600,2,75,0.03052,True
D483,e_distance,0.3788,cell-mean,5.1126,4.7338,"[0.3973, 0.362, 0.377]","0,1,2",600,600,2,76,0.03058,True
D483,aucell_delta_score,-0.0136,cell-mean,-0.0711,0.0575,"[-0.0149, -0.0169, -0.009]","0,1,2",600,600,2,76,0.03058,True
D484,e_distance,0.471,cell-mean,5.4331,4.9621,"[0.5175, 0.4883, 0.4072]","0,1,2",600,600,2,73,0.03071,True
D484,aucell_delta_score,-0.0148,donor-shift,-0.0193,0.0045,"[-0.0146, -0.0148, -0.0151]","0,1,2",600,600,2,73,0.03071,True
D485,e_distance,0.4057,cell-mean,5.5173,5.1116,"[0.4116, 0.3914, 0.4142]","0,1,2",600,600,2,74,0.03039,True
D485,aucell_delta_score,-0.0133,donor-shift,-0.0232,0.0099,"[-0.0133, -0.014, -0.0127]","0,1,2",600,600,2,74,0.03039,True
