cluster,axis,split,baseline,family,is_simple,pearson_delta,e_distance
C3,perturbation,C3_true_lo_gene_10,scGen,latent,False,0.2850951307763656,7.631315308018045
C3,perturbation,C3_true_lo_gene_10,CPA,latent,False,0.157911405339837,7.704553368120357
C3,perturbation,C3_true_lo_gene_10,STATE,hybrid,False,-0.0620390329466317,7.5053342314298845
C3,perturbation,C3_true_lo_gene_10,CINEMA-OT,ot,False,0.4625964432954788,7.520678275210942
C3,perturbation,C3_true_lo_gene_25,GEARS,graph,False,0.1953044161924186,7.595420335971148
C3,perturbation,C3_true_lo_gene_25,AttentionPert,graph,False,0.1831711195094661,7.771376370488402
C3,perturbation,C3_true_lo_gene_25,scGPT,foundation,False,0.0492128138745052,7.530192040373116
C3,perturbation,C3_true_lo_gene_25,scGen,latent,False,0.2415937039296369,7.57430293714619
C3,perturbation,C3_true_lo_gene_25,CPA,latent,False,0.1581067325660606,7.6218126612399715
C3,perturbation,C3_true_lo_gene_25,STATE,hybrid,False,-0.0105497909849824,7.593427590021379
C3,perturbation,C3_true_lo_gene_25,CINEMA-OT,ot,False,0.4629964702636809,7.5493523913544465
C3,perturbation,C3_true_lo_gene_50,GEARS,graph,False,0.234221198218497,7.60358684165637
C3,perturbation,C3_true_lo_gene_50,AttentionPert,graph,False,0.0927973851306691,7.600262393951882
C3,perturbation,C3_true_lo_gene_50,scGPT,foundation,False,0.0691400846624526,7.5169491621345825
C3,perturbation,C3_true_lo_gene_50,scGen,latent,False,0.2025570435122259,7.600490483259437
C3,perturbation,C3_true_lo_gene_50,CPA,latent,False,0.3024485670030117,7.612448575336402
C3,perturbation,C3_true_lo_gene_50,STATE,hybrid,False,-0.0020410643593169,7.570682579904698
C3,perturbation,C3_true_lo_gene_50,CINEMA-OT,ot,False,0.4243428634630667,7.554866569858078
C5,perturbation,C5_global_compound_holdout,ctrl-pred,simple,True,0.0027070707488162,19.88870628426027
C5,perturbation,C5_global_compound_holdout,cell-mean,simple,True,0.1721795784344846,19.613603500067317
C5,perturbation,C5_global_compound_holdout,donor-shift,simple,True,0.1721795784344846,19.613603500067317
C5,perturbation,C5_global_compound_holdout,linear-PCA,simple,True,0.1498077666204023,19.61360358985462
C5,perturbation,C5_global_compound_holdout,FP-ridge,chemistry,False,0.1642003879678668,19.64137258995358
C5,cell-context,C5_loct_B,ctrl-pred,simple,True,-0.0260374800410763,7.501896591423852
C5,cell-context,C5_loct_B,cell-mean,simple,True,0.0741336378648692,13.843982053890638
C5,cell-context,C5_loct_B,donor-shift,simple,True,0.2783795539950225,7.085674888690674
C5,cell-context,C5_loct_B,linear-PCA,simple,True,0.2997303043578005,7.08567463441411
C5,cell-context,C5_loct_B,FP-ridge,chemistry,False,0.4155767954463231,6.636237268277247
C5,cell-context,C5_loct_Mono,ctrl-pred,simple,True,0.0054791604900466,5.5795355116950285
C5,cell-context,C5_loct_Mono,cell-mean,simple,True,0.0187246311714781,33.201184132916154
C5,cell-context,C5_loct_Mono,donor-shift,simple,True,0.1901579500874504,5.64843757167431
C5,cell-context,C5_loct_Mono,linear-PCA,simple,True,0.184644846957443,5.648439253184412
C5,cell-context,C5_loct_Mono,FP-ridge,chemistry,False,0.3057086862789999,5.244524763450605
C5,cell-context,C5_loct_NK,ctrl-pred,simple,True,-0.0110479001585783,7.146360317712343
C5,cell-context,C5_loct_NK,cell-mean,simple,True,-0.0041590079562804,21.50729710994211
C5,cell-context,C5_loct_NK,donor-shift,simple,True,0.2560246006011011,6.7651150177925725
C5,cell-context,C5_loct_NK,linear-PCA,simple,True,0.2593769223663744,6.765115331822278
C5,cell-context,C5_loct_NK,FP-ridge,chemistry,False,0.389807641928923,6.662965875802017
C5,cell-context,C5_loct_T_cells,ctrl-pred,simple,True,-0.0090414720179978,7.174565527114572
C5,cell-context,C5_loct_T_cells,cell-mean,simple,True,0.0112160133901349,15.793814571295991
C5,cell-context,C5_loct_T_cells,donor-shift,simple,True,0.3193161063398241,6.749320393916428
C5,cell-context,C5_loct_T_cells,linear-PCA,simple,True,0.3339668906273994,6.749321024936103
C5,cell-context,C5_loct_T_cells,FP-ridge,chemistry,False,0.4387038899915861,6.400173869857182
C5,perturbation,C5_global_compound_holdout,CPA,latent,False,0.1586912059491234,19.76996977665768
C5,perturbation,C5_global_compound_holdout,scGen,latent,False,0.0861714466227567,19.92635716892916
C5,perturbation,C5_global_compound_holdout,STATE,hybrid,False,-0.0031887858874272,19.985654852010928
C5,perturbation,C5_global_compound_holdout,CINEMA-OT,ot,False,0.1718199929642391,19.598538962451677
C5,cell-context,C5_loct_B,CPA,latent,False,0.1065750629176692,13.297404705792486
C5,cell-context,C5_loct_B,scGen,latent,False,0.1257371012714249,9.2687662449125
C5,cell-context,C5_loct_B,STATE,hybrid,False,0.1072831933253695,13.642889814403992
C5,cell-context,C5_loct_B,CINEMA-OT,ot,False,0.2729726870286655,7.0855618898394805
C5,cell-context,C5_loct_Mono,CPA,latent,False,0.0385953666226539,33.01196921389109
C5,cell-context,C5_loct_Mono,scGen,latent,False,0.1604242594039533,7.908229520541984
C5,cell-context,C5_loct_Mono,STATE,hybrid,False,0.0377204653010267,32.40806334967153
C5,cell-context,C5_loct_Mono,CINEMA-OT,ot,False,0.1898790710356219,5.641544438711351
C5,cell-context,C5_loct_NK,CPA,latent,False,0.0246988257922889,21.97727247881038
C5,cell-context,C5_loct_NK,scGen,latent,False,0.2198834053029352,7.245555496457509
C5,cell-context,C5_loct_NK,STATE,hybrid,False,0.0261536860336542,21.543126942029087
C5,cell-context,C5_loct_NK,CINEMA-OT,ot,False,0.2515329206510982,6.757126843237693
C5,cell-context,C5_loct_T_cells,CPA,latent,False,0.0445847137369463,15.514622571069234
C5,cell-context,C5_loct_T_cells,scGen,latent,False,0.2020090247846228,8.129303295264465
C5,cell-context,C5_loct_T_cells,STATE,hybrid,False,0.0506955175117691,15.26909609911053
C5,cell-context,C5_loct_T_cells,CINEMA-OT,ot,False,0.2988785591425625,6.778836354825256
